Date,Exercise Amount,Sleep Quality
9/17/2020,inactive,heavily disrupted
9/18/2020,highly active,heavily disrupted
9/19/2020,inactive,restful
9/20/2020,fairly active,heavily disrupted
9/21/2020,highly active,restful
9/22/2020,lightly active,moderately disrupted
9/23/2020,fairly active,restful
9/24/2020,highly active,moderately disrupted
9/25/2020,fairly active,heavily disrupted
9/26/2020,inactive,moderately disrupted
9/27/2020,highly active,heavily disrupted
9/28/2020,highly active,restful
9/29/2020,highly active,moderately restful
9/30/2020,fairly active,moderately restful
10/1/2020,highly active,restful
10/2/2020,lightly active,moderately restful
10/3/2020,fairly active,restful
10/4/2020,fairly active,moderately disrupted
10/5/2020,highly active,moderately disrupted
10/6/2020,inactive,restful
10/7/2020,lightly active,heavily disrupted
10/8/2020,lightly active,moderately disrupted
10/9/2020,fairly active,moderately disrupted
10/10/2020,lightly active,heavily disrupted
10/11/2020,fairly active,heavily disrupted
10/12/2020,highly active,moderately disrupted
10/13/2020,highly active,heavily disrupted
10/14/2020,fairly active,restful
10/15/2020,fairly active,moderately restful
10/16/2020,highly active,restful
10/17/2020,inactive,heavily disrupted
10/18/2020,inactive,heavily disrupted
10/19/2020,highly active,restful
10/20/2020,highly active,restful
10/21/2020,lightly active,moderately restful
10/22/2020,lightly active,moderately disrupted
10/23/2020,lightly active,moderately restful
10/24/2020,highly active,moderately restful
10/25/2020,inactive,moderately restful
10/26/2020,inactive,moderately disrupted
10/27/2020,lightly active,restful
10/28/2020,lightly active,moderately restful
10/29/2020,inactive,moderately disrupted
10/30/2020,inactive,moderately disrupted
10/31/2020,highly active,restful
11/1/2020,inactive,restful
11/2/2020,highly active,heavily disrupted
11/3/2020,fairly active,moderately disrupted
11/4/2020,lightly active,restful
11/5/2020,lightly active,restful
11/6/2020,highly active,heavily disrupted
11/7/2020,inactive,heavily disrupted
11/8/2020,fairly active,heavily disrupted
11/9/2020,lightly active,moderately restful
11/10/2020,highly active,moderately restful
11/11/2020,inactive,moderately disrupted
11/12/2020,fairly active,heavily disrupted
11/13/2020,fairly active,moderately restful
11/14/2020,inactive,heavily disrupted
11/15/2020,fairly active,moderately disrupted
11/16/2020,lightly active,heavily disrupted
11/17/2020,inactive,heavily disrupted
11/18/2020,lightly active,moderately restful
11/19/2020,inactive,moderately restful
11/20/2020,fairly active,moderately disrupted
11/21/2020,lightly active,heavily disrupted
11/22/2020,inactive,moderately restful
11/23/2020,lightly active,moderately disrupted
11/24/2020,highly active,moderately disrupted
11/25/2020,fairly active,moderately restful
11/26/2020,highly active,restful
11/27/2020,fairly active,moderately restful
11/28/2020,highly active,restful
11/29/2020,highly active,heavily disrupted
11/30/2020,fairly active,restful
12/1/2020,lightly active,moderately disrupted
12/2/2020,inactive,moderately restful
12/3/2020,lightly active,moderately restful
12/4/2020,highly active,moderately disrupted
12/5/2020,inactive,moderately restful
12/6/2020,lightly active,heavily disrupted
12/7/2020,inactive,moderately disrupted
12/8/2020,lightly active,moderately restful
12/9/2020,inactive,heavily disrupted
12/10/2020,highly active,restful
12/11/2020,fairly active,heavily disrupted
12/12/2020,inactive,moderately disrupted
12/13/2020,fairly active,moderately restful
12/14/2020,fairly active,restful
12/15/2020,lightly active,restful
