Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-11-19 1:22AM,2020-11-19 8:47AM,422,14,2,444,N/A,N/A,N/A
2020-11-17 11:56PM,2020-11-18 7:02AM,398,28,1,426,N/A,N/A,N/A
2020-11-17 12:22AM,2020-11-17 7:08AM,378,24,1,406,N/A,N/A,N/A
2020-11-16 12:27AM,2020-11-16 6:33AM,349,17,1,366,N/A,N/A,N/A
2020-11-15 1:59AM,2020-11-15 11:21AM,525,37,1,562,N/A,N/A,N/A
2020-11-14 1:02AM,2020-11-14 10:35AM,549,19,1,573,N/A,N/A,N/A
2020-11-13 12:23AM,2020-11-13 6:57AM,364,29,0,393,N/A,N/A,N/A
2020-11-12 12:01AM,2020-11-12 8:53AM,503,28,1,532,N/A,N/A,N/A
2020-11-10 11:52PM,2020-11-11 7:04AM,415,17,0,432,N/A,N/A,N/A
2020-11-10 12:17AM,2020-11-10 7:04AM,390,17,0,407,N/A,N/A,N/A
2020-11-08 11:56PM,2020-11-09 7:09AM,379,54,3,433,N/A,N/A,N/A
2020-11-07 11:44PM,2020-11-08 11:04AM,630,50,1,680,N/A,N/A,N/A
2020-11-07 12:53AM,2020-11-07 10:55AM,566,35,2,602,N/A,N/A,N/A
2020-11-06 12:41AM,2020-11-06 7:10AM,377,11,0,389,N/A,N/A,N/A
2020-11-04 11:57PM,2020-11-05 9:48AM,572,18,0,590,N/A,N/A,N/A
2020-11-04 12:28AM,2020-11-04 7:04AM,378,18,2,396,N/A,N/A,N/A
2020-11-03 12:13AM,2020-11-03 7:15AM,389,24,2,422,N/A,N/A,N/A
2020-11-02 12:16AM,2020-11-02 6:40AM,371,11,0,384,N/A,N/A,N/A
2020-11-01 1:31AM,2020-11-01 10:12AM,504,16,2,520,N/A,N/A,N/A
2020-10-30 11:25PM,2020-10-31 9:14AM,557,32,2,589,N/A,N/A,N/A
2020-10-30 12:14AM,2020-10-30 7:06AM,392,20,1,412,N/A,N/A,N/A
2020-10-29 12:08AM,2020-10-29 9:29AM,531,24,1,560,N/A,N/A,N/A
2020-10-28 12:22AM,2020-10-28 7:15AM,405,8,0,413,N/A,N/A,N/A
2020-10-27 12:34AM,2020-10-27 7:05AM,373,18,0,391,N/A,N/A,N/A
2020-10-26 12:42AM,2020-10-26 11:07AM,598,27,1,625,N/A,N/A,N/A
2020-10-25 12:29AM,2020-10-25 10:48AM,599,20,1,619,N/A,N/A,N/A
2020-10-24 12:42AM,2020-10-24 10:55AM,592,19,0,613,N/A,N/A,N/A
2020-10-23 12:24AM,2020-10-23 6:10AM,329,16,1,345,N/A,N/A,N/A
2020-10-22 12:22AM,2020-10-22 10:20AM,577,21,0,598,N/A,N/A,N/A
2020-10-21 12:21AM,2020-10-21 6:58AM,387,10,0,397,N/A,N/A,N/A
2020-10-20 12:54AM,2020-10-20 7:12AM,370,4,0,377,N/A,N/A,N/A
2020-10-19 12:28AM,2020-10-19 7:07AM,375,23,1,399,N/A,N/A,N/A
2020-10-18 2:08AM,2020-10-18 11:10AM,507,34,0,541,N/A,N/A,N/A
2020-10-17 1:12AM,2020-10-17 11:02AM,571,18,0,589,N/A,N/A,N/A
2020-10-16 1:49AM,2020-10-16 7:06AM,305,12,1,317,N/A,N/A,N/A
2020-10-15 2:29AM,2020-10-15 9:16AM,399,8,0,407,N/A,N/A,N/A
2020-10-13 11:31PM,2020-10-14 7:00AM,422,26,0,449,N/A,N/A,N/A
2020-10-12 11:38PM,2020-10-13 7:09AM,426,25,0,451,N/A,N/A,N/A
2020-10-12 12:02AM,2020-10-12 7:38AM,411,45,2,456,N/A,N/A,N/A
2020-10-11 12:23AM,2020-10-11 10:46AM,556,67,3,623,N/A,N/A,N/A
2020-10-10 1:59AM,2020-10-10 11:12AM,529,24,1,553,N/A,N/A,N/A
2020-10-08 11:27PM,2020-10-09 7:07AM,432,25,1,460,N/A,N/A,N/A
2020-10-08 1:14AM,2020-10-08 9:15AM,453,27,1,480,N/A,N/A,N/A
2020-10-07 12:51AM,2020-10-07 7:03AM,366,4,0,371,N/A,N/A,N/A
2020-10-06 12:23AM,2020-10-06 7:09AM,383,22,2,405,N/A,N/A,N/A
2020-10-04 11:24PM,2020-10-05 7:08AM,437,26,1,464,N/A,N/A,N/A
2020-10-04 2:36AM,2020-10-04 9:52AM,426,10,0,436,N/A,N/A,N/A
2020-10-02 11:40PM,2020-10-03 10:12AM,608,23,0,631,N/A,N/A,N/A
2020-10-02 12:39AM,2020-10-02 7:06AM,384,3,0,387,N/A,N/A,N/A
2020-10-01 12:35AM,2020-10-01 7:45AM,406,18,1,430,N/A,N/A,N/A
2020-09-29 11:47PM,2020-09-30 7:12AM,427,18,1,445,N/A,N/A,N/A
2020-09-29 12:40AM,2020-09-29 7:09AM,378,11,1,389,N/A,N/A,N/A
2020-09-28 12:44AM,2020-09-28 7:13AM,349,40,3,389,N/A,N/A,N/A
2020-09-27 1:41AM,2020-09-27 10:22AM,493,28,0,521,N/A,N/A,N/A
2020-09-26 1:54AM,2020-09-26 10:40AM,483,40,2,526,N/A,N/A,N/A
2020-09-24 11:57PM,2020-09-25 7:12AM,415,20,2,435,N/A,N/A,N/A
2020-09-23 11:23PM,2020-09-24 7:38AM,484,11,0,495,N/A,N/A,N/A
2020-09-22 11:12PM,2020-09-23 7:40AM,486,22,1,508,N/A,N/A,N/A
2020-09-22 12:25AM,2020-09-22 7:01AM,388,7,0,396,N/A,N/A,N/A
2020-09-20 11:10PM,2020-09-21 6:52AM,430,29,1,462,N/A,N/A,N/A
2020-09-20 1:57AM,2020-09-20 11:54AM,585,10,0,596,N/A,N/A,N/A
2020-09-19 12:18AM,2020-09-19 9:51AM,526,47,3,573,N/A,N/A,N/A
2020-09-18 12:05AM,2020-09-18 7:14AM,404,24,1,428,N/A,N/A,N/A
